run_accession	experiment_accession	sample_accession	library_name	library_strategy	library_source	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes
SRR18354890	SRX14490251	SAMN26733136	13_460	WGS	GENOMIC	37528880	11333721760	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/090/SRR18354890/SRR18354890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/090/SRR18354890/SRR18354890_2.fastq.gz	687dc2709f5ebbcc229a9bfae87fd7c1;92bf376c97344e6f01536465bf553edf	2045468601;2046122216
SRR18354891	SRX14490250	SAMN26733135	11_460	WGS	GENOMIC	40902364	12352513928	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/091/SRR18354891/SRR18354891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/091/SRR18354891/SRR18354891_2.fastq.gz	ad68aceb6ecf8021f07e80207723a349;3489c2347798ddf0859f8a977ab7fa2a	2231471877;2231892869
SRR18354892	SRX14490249	SAMN26733134	10_460	WGS	GENOMIC	51609359	15586026418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/092/SRR18354892/SRR18354892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/092/SRR18354892/SRR18354892_2.fastq.gz	138a2e5c88bd86a8e45339e608193048;10907ac85dd49c956b3baf7078930af4	2819314870;2819967939
SRR18354893	SRX14490248	SAMN26733133	09_460	WGS	GENOMIC	39059663	11796018226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/093/SRR18354893/SRR18354893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/093/SRR18354893/SRR18354893_2.fastq.gz	7caab7984493de7b5fd9a45bb4bb24d9;37a229f35f751c359168c7c5d7ffc278	2131769831;2132448535
SRR18354894	SRX14490247	SAMN26733132	08_460	WGS	GENOMIC	42807275	12927797050	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18354894/SRR18354894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/094/SRR18354894/SRR18354894_2.fastq.gz	7b843591ef93bd30f8f02f3532ff5a66;6aa33f1060bb71d5e75492fdc3bffd3b	2338819448;2339351782
SRR18354895	SRX14490246	SAMN26733131	07_460	WGS	GENOMIC	54126102	16346082804	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/095/SRR18354895/SRR18354895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/095/SRR18354895/SRR18354895_2.fastq.gz	77e4a790ba8a722545e3641309a81d7f;43b38b6a7caebb73c2f7cea48d85dc0d	2956397351;2956940275
SRR18354896	SRX14490245	SAMN26733130	05_460	WGS	GENOMIC	44970854	13581197908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/096/SRR18354896/SRR18354896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/096/SRR18354896/SRR18354896_2.fastq.gz	c27ecc4de5e51a12e3bd1f41a7e6e8e3;2133d39b519b90bba9ecfcc8be841e1b	2455058445;2455610955
SRR18354897	SRX14490244	SAMN26733129	04_460	WGS	GENOMIC	39924497	12057198094	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18354897/SRR18354897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/097/SRR18354897/SRR18354897_2.fastq.gz	735992ff2a4344338e0f181ab4f21cf9;8ae25dbc515df908d3c3ace7b9097747	2174441886;2174749599
SRR18354898	SRX14490243	SAMN26733144	21_460	WGS	GENOMIC	37803111	11416539522	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/098/SRR18354898/SRR18354898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/098/SRR18354898/SRR18354898_2.fastq.gz	60f9885d42f29dc7eeae15b2294120c2;6876b9eff8847416ce30b3f1664aba47	2060972320;2061443329
SRR18354899	SRX14490242	SAMN26733143	20_460	WGS	GENOMIC	34537076	10430196952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/099/SRR18354899/SRR18354899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/099/SRR18354899/SRR18354899_2.fastq.gz	af36d13cd532bc87a5c62f357689c76f;084f32752571d604a945ce3910f371a2	1883375281;1883639091
SRR18354900	SRX14490241	SAMN26733142	19_460	WGS	GENOMIC	40343355	12183693210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/000/SRR18354900/SRR18354900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/000/SRR18354900/SRR18354900_2.fastq.gz	1112b011221e4675859f39cb42c6ed21;63d836195fce2b305fbc0ca491aaaa9a	2198602670;2198847121
SRR18354901	SRX14490240	SAMN26733141	18_460	WGS	GENOMIC	38896039	11746603778	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/001/SRR18354901/SRR18354901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/001/SRR18354901/SRR18354901_2.fastq.gz	8d7bd038abe73521eb3578eaec277e5e;c531a9a97b265481e913ef97ab0e6112	2122270954;2122917263
SRR18354902	SRX14490239	SAMN26733140	17_460	WGS	GENOMIC	34500457	10419138014	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18354902/SRR18354902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/002/SRR18354902/SRR18354902_2.fastq.gz	561b3c7e7f1e317c6943a36f58f2f639;1124d7995e58f18926a3d36c83e6a0d3	1875002343;1875402880
SRR18354903	SRX14490238	SAMN26733139	16_460	WGS	GENOMIC	33577692	10140462984	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18354903/SRR18354903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/003/SRR18354903/SRR18354903_2.fastq.gz	702ccd6f1883986c54a3d4fa626c316a;239ec5bb818873bec008f6bd97feeb0f	1829338819;1829635949
SRR18354904	SRX14490237	SAMN26733138	15_460	WGS	GENOMIC	38761441	11705955182	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18354904/SRR18354904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18354904/SRR18354904_2.fastq.gz	87a768c6b45ef6a2006c1548bdc7bb63;0b02387dc3caa12d00614faaafa36682	2113542656;2113963709
SRR18354905	SRX14490236	SAMN26733137	14_460	WGS	GENOMIC	40302625	12171392750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18354905/SRR18354905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/005/SRR18354905/SRR18354905_2.fastq.gz	d555dffc8599040d40e5d9ba9c024942;7f16dc6a84f9ead31deb8608fa0acc46	2200935263;2201687167
SRR18354906	SRX14490235	SAMN26733128	03_460	WGS	GENOMIC	35619824	10757186848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/006/SRR18354906/SRR18354906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/006/SRR18354906/SRR18354906_2.fastq.gz	496141f055694a48416589bca3f7586b;22da2e512633b2ea1c422f679d060c7f	1940192907;1940905093
SRR18354907	SRX14490234	SAMN26733127	02_460	WGS	GENOMIC	38379825	11590707150	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18354907/SRR18354907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/007/SRR18354907/SRR18354907_2.fastq.gz	37a5b5fe049d3bc7e6a1fa2f38448ab6;c1ddafe253557e80d0698aeda8a0daa6	2091945560;2092678647
